despues_Gio_theta_1,despues_Gio_theta_2,despues_Gio_theta_3,despues_Gio_theta_4,despues_Gio_theta_5,despues_Gio_theta_6,despues_Gio_theta_7,despues_Gio_theta_8,despues_Gio_theta_9,despues_Gio_theta_10,despues_Gio_theta_11,despues_Gio_theta_12,despues_Gio_theta_13,despues_Gio_theta_14,despues_Gio_theta_15,despues_Gio_theta_16,despues_Gio_theta_17,despues_Gio_theta_18,despues_Gio_theta_19,Sujeto,Clase
4.9662,2.8388,3.5553,6.9373,6.708,1.3964,0.71584,3.2459,7.0572,6.9667,6.3875,5.0078,6.6819,8.7484,6.2892,6.0825,5.9831,5.3594,5.3678,A10GUAC,A
4.67,11.1598,8.002,10.0235,7.0078,3.7752,6.6432,12.1853,11.4607,13.0007,8.6169,7.9339,12.6403,10.1304,9.9177,7.4303,8.7912,8.4282,10.79,A11BRCA,A
10.6515,9.4127,7.9433,9.4176,6.4982,7.6404,11.1891,11.1485,12.4409,8.9227,10.8231,10.3736,8.7522,3.7324,13.329,8.6369,3.124,3.0358,5.5047,A12CAPA,A
8.4541,2.1738,9.6999,4.4984,7.9232,8.6026,4.3376,5.8474,9.3654,7.7201,2.7176,8.6628,8.0513,9.1719,7.9824,6.6499,5.1492,4.9428,9.05,A13RIVI,A
9.2855,9.0774,8.1332,11.172,9.4857,9.294,10.9555,9.7075,10.6917,4.0834,6.5601,5.5218,9.2004,7.1516,4.8858,8.8638,3.8913,4.025,0.8588,A14RARO,A
8.0993,10.4205,9.6856,8.2626,1.6198,2.9015,1.5123,6.344,11.2824,8.7134,8.7491,9.5483,10.0285,10.0504,10.4405,4.2121,6.1741,5.4111,8.0594,A15GOGA,A
12.7447,15.557,15.2121,12.4903,14.3455,12.9409,14.005,14.2274,14.802,14.5225,6.4582,11.1965,14.6884,15.8414,12.6312,10.5707,9.844,10.7939,10.0463,A17MUSI,A
8.2185,4.6473,2.9701,2.4703,6.2952,4.8217,4.4527,5.3249,8.8259,1.5402,1.7012,8.2051,2.5261,3.1083,2.4953,6.5188,6.388,6.7235,6.3026,A18RURI,A
9.8017,9.5159,9.9764,6.9484,4.4018,9.363,6.6743,4.302,9.0263,9.7366,9.9813,9.111,4.0284,8.8988,8.7218,5.2444,8.272,10.004,6.9135,A19MOEP,A
3.8749,2.0482,4.9931,7.2433,5.7261,2.3165,5.8408,6.4455,3.9347,1.389,7.2458,3.8389,2.3722,8.3306,7.5415,6.4899,3.5799,2.1282,6.5406,A1ARVAE,A
5.2803,4.5912,4.1946,5.2161,3.865,3.6874,1.2792,3.1295,6.2541,6.0381,4.3316,5.0949,6.1774,5.4424,5.4084,4.4741,5.0891,5.8772,4.3856,A21AGLO,A
4.8346,4.6429,9.1998,8.7699,8.7489,5.4691,3.9586,9.2726,5.3069,7.8677,7.9543,5.6082,7.0483,8.199,8.7374,8.762,4.3685,4.0788,7.9579,A22SAHE,A
14.459,16.8994,16.9381,15.9715,6.838,16.2573,15.1212,16.1662,15.3201,16.1264,15.5185,5.9617,15.8155,15.8277,15.1354,16.222,15.702,13.377,16.0574,A24FLMA,A
