despues_E_alpha_1,despues_E_alpha_2,despues_E_alpha_3,despues_E_alpha_4,despues_E_alpha_5,despues_E_alpha_6,despues_E_alpha_7,despues_E_alpha_8,despues_E_alpha_9,despues_E_alpha_10,despues_E_alpha_11,despues_E_alpha_12,despues_E_alpha_13,despues_E_alpha_14,despues_E_alpha_15,despues_E_alpha_16,despues_E_alpha_17,despues_E_alpha_18,despues_E_alpha_19,Sujeto,Clase
29,55,45,37,41,52,65,37,67,27,21,34,44,28,21,21,14,13,33,A10GUAC,A
8,44,51,45,47,3,0,13,51,40,40,20,53,55,46,1,23,11,1,A11BRCA,A
0,40,27,17,50,3,4,4,32,6,19,35,31,40,44,34,19,28,11,A12CAPA,A
9,1,13,2,1,5,0,2,12,12,6,12,8,12,3,2,6,2,3,A13RIVI,A
8,29,48,13,13,20,34,10,34,36,27,3,38,40,13,6,6,29,13,A14RARO,A
19,26,67,64,64,10,64,64,26,75,64,19,75,75,64,64,23,67,45,A15GOGA,A
30,15,34,42,27,41,39,50,12,9,17,22,53,17,45,33,9,9,39,A17MUSI,A
1,1,2,3,2,4,0,2,6,14,10,0,12,10,9,4,3,0,4,A18RURI,A
26,39,41,20,24,4,6,26,41,34,22,9,36,36,31,13,48,21,3,A19MOEP,A
17,2,0,6,9,12,8,5,13,1,12,3,14,17,17,11,22,12,20,A1ARVAE,A
6,26,16,36,27,5,7,25,31,37,41,24,31,16,7,26,2,2,4,A21AGLO,A
1,32,25,26,12,0,20,11,24,32,18,17,24,27,21,12,2,1,7,A22SAHE,A
120,120,120,120,0,120,120,120,120,120,0,120,120,120,120,120,120,120,120,A24FLMA,A
6,48,36,49,0,28,0,0,66,56,63,59,27,56,56,0,51,48,26,A27HECE,A
15,35,40,32,1,19,19,43,47,47,38,1,53,31,28,17,2,2,4,A28TOPA,A
32,21,47,12,3,32,30,3,32,34,20,36,33,23,20,9,29,18,16,A52CUCA,A
1,8,6,21,15,2,2,5,22,17,22,12,10,20,21,10,13,15,15,A8ESSAI,A
41,50,52,19,0,37,37,36,27,29,23,45,47,52,7,3,12,34,1,A9AYAND,A
3,3,2,17,17,7,3,0,15,19,20,3,0,22,21,0,12,1,6,M9BENIE,M
34,33,43,7,9,45,73,9,48,73,29,60,46,45,37,36,32,50,65,M10CAUR,M
32,39,39,23,15,35,6,24,40,45,15,24,32,22,16,4,32,6,4,M11BADE,M
16,11,3,12,17,11,8,17,3,0,8,4,4,3,5,3,6,0,1,M12SAES,M
60,35,33,60,3,1,1,22,53,47,60,48,47,3,39,27,33,0,37,M13FECA,M
43,54,43,4,34,23,5,0,50,42,40,34,29,29,17,8,34,4,32,M16ARVE,M
35,21,10,28,18,14,1,27,30,30,25,21,39,18,17,15,26,6,6,M17GOSE,M
15,17,50,40,29,0,0,45,34,30,23,14,34,13,35,18,2,0,0,M18HUME,M
23,41,38,52,12,34,32,21,61,51,50,44,25,11,52,43,44,8,21,M19NAMO,M
113,113,104,113,93,113,76,113,113,91,6,101,113,101,116,0,100,75,113,M21SANA,M
1,23,29,50,10,28,43,46,30,3,9,0,38,17,24,14,12,44,14,M22HUGU,M
14,5,13,21,14,4,2,2,7,11,28,3,9,15,22,21,4,16,29,M23SACA,M
13,82,73,57,3,49,47,43,58,75,49,14,82,73,57,59,23,77,17,M24SAME,M
46,40,37,21,13,34,14,5,49,41,41,24,27,8,55,25,10,10,10,M25MAVI,M
7,23,28,28,5,0,12,20,26,24,12,3,15,15,21,5,25,12,4,M27MUAG,M
14,6,19,34,33,22,28,18,15,28,38,8,5,26,38,31,3,11,19,M28NUCO,M
23,42,3,21,28,16,2,17,19,28,24,21,39,37,36,7,37,32,9,M3ESDIR,M
60,14,61,56,45,30,38,54,30,80,66,31,75,30,67,14,78,46,67,M7FLSAA,M
18,41,38,46,15,27,41,33,37,18,54,14,40,41,7,5,10,13,3,M8AVGUK,M
65,80,29,68,21,85,74,75,79,17,8,55,65,79,97,6,79,85,88,M9SAAND,M
