durante_E_delta_1,durante_E_delta_2,durante_E_delta_3,durante_E_delta_4,durante_E_delta_5,durante_E_delta_6,durante_E_delta_7,durante_E_delta_8,durante_E_delta_9,durante_E_delta_10,durante_E_delta_11,durante_E_delta_12,durante_E_delta_13,durante_E_delta_14,durante_E_delta_15,durante_E_delta_16,durante_E_delta_17,durante_E_delta_18,durante_E_delta_19,Sujeto,Clase
27,36,1,3,38,10,29,23,41,1,29,32,40,4,2,15,41,4,2,A10GUAC,H
106,110,106,118,110,14,10,36,114,110,103,103,103,110,103,103,103,103,78,A11BRCA,H
26,20,26,39,25,14,45,25,6,39,29,13,33,26,37,43,20,27,23,A13RIVI,H
125,45,135,135,126,114,101,125,113,135,78,125,112,135,135,126,126,55,126,A14RARO,H
32,38,45,60,15,22,15,41,70,49,51,29,68,60,49,26,68,49,41,A17MUSI,H
60,22,71,104,78,0,1,78,104,104,98,98,104,98,88,87,98,104,88,A18RURI,M
95,0,45,116,95,116,84,116,106,64,86,107,116,116,97,55,75,116,75,A1ARVAE,H
15,57,70,70,55,24,83,70,57,70,55,15,28,74,55,62,24,83,62,A21AGLO,H
4,43,49,7,10,42,49,55,35,46,3,3,53,46,28,6,53,53,12,A22SAHE,H
136,136,136,136,136,136,138,136,136,136,136,136,136,136,138,136,136,3,138,A24FLMA,H
97,2,97,51,82,97,21,37,84,80,70,89,83,91,91,53,75,72,0,A27HECE,M
58,78,60,78,34,50,18,0,84,84,46,67,74,70,78,0,70,50,0,A28TOPA,M
0,63,26,89,89,51,48,89,39,27,89,41,0,74,58,66,50,68,59,A52CUCA,H
27,72,20,54,48,47,25,60,23,66,60,6,35,36,53,46,2,1,60,B12LARA,H
35,1,32,25,14,14,1,11,30,28,18,33,29,48,32,37,16,35,44,B13VIGA,H
45,32,37,17,6,45,45,8,21,37,12,45,21,37,40,6,45,3,14,B14FOVA,M
0,26,31,36,16,0,1,19,38,31,1,0,22,31,16,19,31,22,47,B17ARTO,M
40,42,51,15,15,10,5,15,40,51,36,40,57,54,36,18,40,51,38,B18CASI,H
26,23,33,26,21,22,22,6,22,30,21,21,10,12,25,26,22,11,20,B20RORA,M
124,100,99,66,114,1,54,124,113,124,114,124,113,124,114,101,125,111,114,B22VIPU,H
59,41,55,31,67,10,31,59,5,65,67,10,25,45,69,54,28,3,65,B23VEZE,M
96,103,101,17,96,92,74,103,108,85,73,104,92,50,103,86,29,19,93,B25MEVI,M
77,71,74,52,78,9,24,50,67,63,48,72,77,19,77,10,36,10,67,B5ARMON,M
1,63,63,47,7,29,70,43,50,63,59,7,63,50,52,28,3,28,63,B6SOMOD,M
23,45,7,30,25,21,29,14,31,3,32,1,16,7,33,27,8,36,44,B7MESEA,H
12,64,25,38,50,55,36,10,28,28,56,12,46,12,44,55,51,43,10,M9BENIE,H
90,99,75,93,63,21,5,79,99,45,99,80,8,84,99,87,80,48,99,M11BADE,M
9,10,27,35,43,13,8,1,6,34,34,9,10,39,34,34,9,34,34,M13FECA,M
46,70,50,66,70,73,35,57,43,58,88,0,39,81,62,31,81,78,19,M16ARVE,M
57,54,39,3,40,19,7,0,54,26,2,39,54,32,1,48,45,2,48,M17GOSE,M
138,135,135,135,120,138,135,135,135,135,135,6,135,123,135,135,135,138,135,M18HUME,M
32,19,24,15,29,28,28,18,26,24,27,30,29,6,28,24,20,16,21,M19NAMO,H
37,33,33,39,13,43,37,16,25,23,26,25,33,34,20,9,19,5,4,M21SANA,M
45,59,111,117,90,20,101,67,87,111,92,54,117,100,92,63,111,45,99,M22HUGU,M
31,51,46,62,70,30,0,26,52,33,52,25,65,45,23,37,60,14,10,M23SACA,M
28,1,75,71,56,3,12,1,64,43,68,51,51,39,34,39,71,51,64,M25MAVI,M
19,19,41,62,61,2,14,28,52,42,61,24,60,66,55,55,42,35,42,M28NUCO,M
84,84,74,77,71,47,49,9,85,44,76,74,77,76,71,37,23,52,3,M3ESDIR,H
10,120,113,113,113,113,105,113,120,105,105,10,120,105,105,105,43,113,105,M8AVGUK,H
116,85,66,96,120,107,109,107,127,120,54,127,28,120,120,120,94,117,63,M9SAAND,H
