durante_C_gamma_1,durante_C_gamma_2,durante_C_gamma_3,durante_C_gamma_4,durante_C_gamma_5,durante_C_gamma_6,durante_C_gamma_7,durante_C_gamma_8,durante_C_gamma_9,durante_C_gamma_10,durante_C_gamma_11,durante_C_gamma_12,durante_C_gamma_13,durante_C_gamma_14,durante_C_gamma_15,durante_C_gamma_16,durante_C_gamma_17,durante_C_gamma_18,durante_C_gamma_19,Sujeto,Clase
1,0.28571,0.57143,0.44444,0.7,0.5,0.33333,0.33333,0.47619,0.41818,0.60714,0.4,0.66667,0.35556,0.73333,0.8,0.6,0.33333,0.4,A10GUAC,A
NaN,0.92857,0.72222,0.63889,0.33333,NaN,NaN,NaN,0.78571,0.95238,0.80556,NaN,0.92857,0.95238,0.80556,0.6,NaN,NaN,NaN,A11BRCA,A
0.57143,0.6,0.54545,0.62121,0.80556,0.46667,0.3,0.57576,0.57143,0.66667,0.77778,0.5,0.46667,0.6,0.64444,0.66667,0.6,NaN,0.68889,A12CAPA,A
0,0,0.66667,0.5,1,NaN,NaN,0,NaN,0.5,0.27778,NaN,0,0.66667,0.32143,0.5,NaN,0.66667,0.83333,A13RIVI,A
0.83333,0.89524,0.9697,0.97436,1,1,NaN,0.97436,0.83333,0.83333,1,0.89524,0.89524,0.83333,0.87619,0.83333,0.87179,NaN,0.96154,A14RARO,A
1,0.58333,0.53571,0.57143,0.52381,0.67857,NaN,0.41667,0.93333,0.66667,0.46429,0.4,0.58333,0.6,0.5,0.52381,0.42857,0,0.66667,A15GOGA,A
NaN,0.6,0.85714,0.54545,0.71429,0,NaN,0.71429,0.82143,0.60606,0.61818,0.33333,1,0.56061,0.59091,0.62222,0.5,1,0.95238,A17MUSI,A
0.66667,0.66667,0.71429,0.55556,0.5,0.9,NaN,0.6,0.29487,0.5,0.52778,0,0.83333,0.83333,0.47619,0.6,0.66667,NaN,NaN,A18RURI,A
0.26667,0.5,0.57778,0.66667,0.57143,0.66667,0.5,0.6,0.41818,0.67857,0.46667,0.33333,0.46429,0.56364,0.55556,0.33333,0.33333,0.9,0.52778,A19MOEP,A
1,0.33333,0.5,0.46667,0.9,0.2,0,0.73333,0.38095,0.6,0.36111,0.39286,0.53333,0.28571,0.46429,1,NaN,0,0.33333,A1ARVAE,A
NaN,1,0.60714,0.69444,0.8,1,NaN,0.5,0.4,0.55556,0.61111,0,0,0.67857,0.67857,0.73333,NaN,NaN,0.7,A21AGLO,A
NaN,0,0.66667,0.60714,0.53333,0.33333,0.16667,1,0.47619,0.61111,0.66667,NaN,0.33333,0.61111,0.71429,0.64286,NaN,NaN,0.66667,A22SAHE,A
0.87879,0.93333,0.81818,0.86364,NaN,0.90476,1,0.80303,0.80769,0.82051,1,1,0.81818,0.69231,0.77273,0.79487,0.75824,NaN,0.79487,A24FLMA,A
NaN,NaN,0.63889,0.66667,NaN,NaN,1,NaN,0.86667,0.62222,0.63889,0,0.73333,0.78571,0.55556,0.93333,0.33333,NaN,0.66667,A27HECE,A
0.33333,0.4,0.53571,0.47619,0,0.3,0,0.83333,0.2381,0.42222,0.41667,0,0.33333,0,0.47619,0.38095,0.33333,0.16667,0.6,A28TOPA,A
NaN,1,0.55556,0.7619,0.64286,NaN,NaN,1,0.71429,0.55556,0.71429,0,0.8,0.61905,0.61111,1,NaN,NaN,1,A52CUCA,A
0.46667,0.52778,0.44444,0.42424,0.5,0.8,0.33333,0.47222,0.47619,0.66667,0.46667,0.66667,0.3,0.33333,0.5,0.53571,1,0,0.54545,A8ESSAI,A
0.66667,0.73333,0.38889,0.28889,0.66667,0.53333,1,0.66667,0.47222,0.52381,0.46667,1,0.5,0.83333,0.46667,0.33333,0.53333,1,1,A9AYAND,A
NaN,0.33333,0.67857,0.71429,0.51111,0.33333,NaN,0.61905,0.73333,0.49091,0.66667,0.33333,1,0.55556,0.61905,1,1,0.33333,1,M9BENIE,M
1,0.39286,0.66667,0.5,0.73333,1,NaN,1,0.38889,0.53333,0.7619,0.46667,0.5,0.5,0.60714,0.57143,1,NaN,0.5,M10CAUR,M
0.33333,0.33333,0.6,0.77778,0.83333,0.2,NaN,0.78571,0.63889,0.75,0.83333,0.2,0,0.66667,0.66667,0.67857,NaN,NaN,0.72222,M11BADE,M
NaN,0.8,0.67857,0.58333,0.8,NaN,NaN,1,0.66667,0.67857,0.7619,NaN,1,0.57143,0.7619,1,NaN,NaN,NaN,M12SAES,M
NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,M13FECA,M
0.32143,0.42857,0.52778,0.57143,0.61905,0.66667,1,0.57143,0.5,0.38889,0.4,0.5,0.3,0.33333,0.38095,0.5,1,NaN,0.33333,M16ARVE,M
0.69091,0.77778,0.67273,0.77778,0.66667,0.72222,NaN,0.69444,0.82143,0.57576,0.85714,1,0.58182,0.33333,0.5,0.5,0.6,0,0.33333,M17GOSE,M
0.33333,0.75758,0.76364,0.61538,1,0.48889,NaN,0.7,0.75758,0.68182,0.91111,0.33333,0.89286,0.78182,0.57143,0.68182,1,1,NaN,M18HUME,M
NaN,0.61111,0.71111,0.63636,0.66667,0.61111,NaN,0.66667,0.69091,0.56061,0.63636,1,0.47619,0.62121,0.62222,0.62222,0.83333,0.5,0.83333,M19NAMO,M
NaN,NaN,0,0.33333,NaN,NaN,NaN,0,NaN,0.66667,0.4,NaN,0,0.2381,0.83333,NaN,NaN,NaN,1,M21SANA,M
0.61905,0.55556,0.75556,0.62222,0.66667,0.7,0.66667,0.63636,0.55128,0.75556,NaN,0.66667,0.68889,0.60606,0.60606,0.8,0.63889,1,0.71429,M22HUGU,M
0,0.73333,0.61905,0.48889,0.46667,NaN,1,0.66667,0.71429,0.56061,0.69444,0,0.55556,0.63889,0.58182,0.86667,0.8,0.53333,0.66667,M23SACA,M
NaN,0.8,0.66667,0.59091,0.7619,1,0.43939,0.80952,0.50909,0.66667,0.57576,NaN,0.61905,0.6,0.75,0.64286,0.55556,0.66667,0.57143,M24SAME,M
0.33333,NaN,0.27778,0.3,0.33333,0,NaN,NaN,0.61905,0.6,0.33333,0.4,0.42857,0.6,1,0.5,0.42857,NaN,0.5,M25MAVI,M
NaN,1,0.57143,0.66667,0.73333,0.33333,NaN,0.66667,0.7619,0.40909,0.57778,0,0.66667,1,0.58333,0.5,0.16667,NaN,NaN,M27MUAG,M
NaN,NaN,0.61905,0.71429,0.80952,NaN,NaN,0.86667,1,0.66667,0.62222,0,0.52381,0.61905,0.48889,0.8,NaN,0,0.93333,M28NUCO,M
NaN,0.9,0.52381,0.66667,0.7,0.71429,NaN,0.83333,0.52778,0.66667,0.47222,NaN,0.6,0.57143,0.44444,0.33333,0,NaN,0.66667,M3ESDIR,M
0.7,0.57143,0.48333,0.9,0.6,0.66667,0.66667,0.68889,0.50909,0.61818,0.70909,0.66667,0.53571,0.63636,0.58182,0.6,0.4,0.89286,0.83333,M7FLSAA,M
