durante_C_sf_1,durante_C_sf_2,durante_C_sf_3,durante_C_sf_4,durante_C_sf_5,durante_C_sf_6,durante_C_sf_7,durante_C_sf_8,durante_C_sf_9,durante_C_sf_10,durante_C_sf_11,durante_C_sf_12,durante_C_sf_13,durante_C_sf_14,durante_C_sf_15,durante_C_sf_16,durante_C_sf_17,durante_C_sf_18,durante_C_sf_19,Sujeto,Clase
0.7,0.9,0.38095,NaN,0.2,0.66667,NaN,0.4,0.60714,0.44444,0.57143,0.6,0.46429,0.42222,0.47619,0.66667,0.38095,0.3,0.6,B10ESTO,B
0.16667,0.7,0.4,0.42857,0.57143,0.33333,0.4,0.8,0.42857,0.38889,0.39394,0.5,0.66667,0.26667,0.44444,0.44444,1,0.6,0.66667,B11SUPR,B
0,0.33333,0.48718,1,0.7,0.3,0.66667,0.55556,0.75,0.71429,0.54545,0.4,0.66667,0.71111,0.51515,0.9,0.60714,0.80556,0.58182,B12LARA,B
0.33333,NaN,0.33333,1,0.5,NaN,NaN,0.33333,0.5,0.66667,0.33333,NaN,1,0.33333,0.66667,0.28571,NaN,NaN,0.5,B13VIGA,B
0.16667,0.46667,0.71111,0.51111,0.33333,0,1,0.53333,0.47222,0.75,0.6,0,0.75,0.67273,0.63636,0.42857,0.33333,1,0.71111,B14FOVA,B
NaN,NaN,0.92857,0.88889,0.92857,NaN,NaN,0.89286,0.71429,0.59091,0.8,NaN,0.6,0.71111,0.70909,0.75,0,NaN,1,B15GOGO,B
0.80556,0.73333,0.7619,0.86364,0.63636,0.83333,0.83333,0.82222,0.78022,0.79121,NaN,0.76364,0.79048,0.7619,0.76667,0.81319,0.80769,0.85897,0.72381,B17ARTO,B
1,0.5,0.66667,0.8,0.6,1,0.73333,0.61111,0.48889,0.66667,0.61111,0.4,0,0.45455,0,0.71429,0.33333,0.47619,0.64286,B18CASI,B
0.33333,0.39286,0.5,0.33333,0.6,1,NaN,0.47619,0.42857,0.42857,0.44444,0.5,0.66667,0.30556,0.47619,0.30556,1,0.2,0.83333,B20RORA,B
0.5,1,0.36111,0,0.93333,1,NaN,0.33333,0.55556,0.62222,0.61111,0,0.46667,0.49091,0.58333,0.64286,0.33333,1,1,B21GUDE,B
1,NaN,0.89286,1,1,NaN,NaN,0.81818,0.58974,0.67949,0.74242,0.76364,0.8,0.58242,0.74242,0.86667,0.93333,NaN,1,B22VIPU,B
0.42857,0.5,0.84444,0.77778,0.8,0.5,0.42857,0.80556,0.65385,0.64103,0.69231,0.6,0.71429,0.69231,0.68182,0.58182,0.57143,0,0.78182,B23VEZE,B
0,1,0.44444,0.46429,1,NaN,NaN,1,0.6,0.67857,0.93333,0,NaN,0.5,0.51111,0.8,0,0,1,B24CECU,B
0.48889,0.42222,0.5,0.33333,0.35714,0.61905,0.53333,0.13333,0.57778,0.53571,0.52727,0.41818,0.44444,0.60714,0.67857,0.47436,0.52381,0.7,0.48889,B25MEVI,B
0,0.8,0.77273,0.77273,0.77778,NaN,1,0.66667,0.93333,0.90909,0.90909,NaN,0.75758,0.95556,0.95556,1,NaN,1,0.77778,B4CAZAD,B
0.68889,0.58182,0.58182,0.69444,0.56061,0.4,0.33333,0.52778,0.54545,0.5,0.60606,0.6,0.3,0.8,0.47619,0.57143,0.62222,0.53333,0.52381,B5ARMON,B
1,0.33333,0.71111,0.6,0.7619,0.55556,0.41818,0.57692,0.6,0.72222,0.70909,NaN,0.5,0.66667,0.54545,0.6,0,0.8,0.61818,B6SOMOD,B
0.4,0.41667,0.5,0.52381,0.47619,0.66667,0.5,0.38095,0.60714,0.5,1,0.33333,0.5,0.45455,0.52778,0.5,0.16667,0.42857,0.64286,B7MESEA,B
0.7,0.4,0.66667,0.28889,0.46667,1,NaN,0.66667,0.60714,0.52778,0.55556,0.44444,0.42857,0.5,0.41818,0.6,1,0.5,0.83333,B8RAMOM,B
0.33333,0.16667,0.58333,0.66667,0.51111,0.16667,0,0.6,0.50909,0.66667,0.66667,0.2,0.7619,0.75,0.42857,0,0.66667,0.60714,0.83333,M9BENIE,M
0.83333,0.47619,0.66667,0.60714,0.7,0.33333,NaN,0.83333,0.46429,0.45455,0.5,0.3,0.5,0.6,0.53333,0.8,NaN,NaN,0.38095,M10CAUR,M
