durante_E_beta_1,durante_E_beta_2,durante_E_beta_3,durante_E_beta_4,durante_E_beta_5,durante_E_beta_6,durante_E_beta_7,durante_E_beta_8,durante_E_beta_9,durante_E_beta_10,durante_E_beta_11,durante_E_beta_12,durante_E_beta_13,durante_E_beta_14,durante_E_beta_15,durante_E_beta_16,durante_E_beta_17,durante_E_beta_18,durante_E_beta_19,Sujeto,Clase
13,15,20,0,4,1,0,0,14,18,8,19,22,12,8,3,3,2,3,B10ESTO,B
5,7,15,2,6,14,0,1,27,18,27,17,8,27,13,8,5,2,11,B11SUPR,B
0,0,29,40,14,3,2,19,12,15,29,0,33,38,40,19,21,35,44,B12LARA,B
1,0,6,6,2,0,1,6,7,17,17,0,12,17,16,2,6,0,4,B13VIGA,B
4,8,15,17,4,2,2,4,11,13,9,2,9,15,12,15,9,10,7,B14FOVA,B
0,3,44,48,11,1,0,40,49,47,55,0,8,47,48,48,46,0,36,B15GOGO,B
10,9,29,28,27,4,14,15,37,27,0,22,11,32,40,9,1,0,6,B17ARTO,B
7,13,5,12,12,0,16,12,18,5,13,15,12,16,0,14,11,5,3,B18CASI,B
0,1,0,0,9,0,0,0,2,4,11,0,1,9,11,6,0,0,9,B20RORA,B
0,0,1,0,6,0,0,0,12,20,14,0,3,16,17,17,0,0,14,B21GUDE,B
1,1,7,0,6,0,0,15,2,12,20,2,2,15,20,9,2,3,0,B22VIPU,B
1,0,2,3,3,2,0,0,10,14,15,2,0,9,8,13,3,0,11,B23VEZE,B
0,0,21,25,0,0,0,21,10,24,25,0,0,29,29,29,0,1,14,B24CECU,B
16,4,2,0,15,5,1,1,12,15,16,5,14,6,8,14,7,0,9,B25MEVI,B
0,53,65,67,47,0,0,51,58,53,65,20,59,36,65,3,0,26,67,B4CAZAD,B
3,2,6,7,3,0,0,2,7,8,10,2,0,0,4,0,0,0,0,B5ARMON,B
2,4,26,36,10,5,7,6,12,33,26,0,25,31,26,32,3,11,17,B6SOMOD,B
5,16,26,28,19,12,2,12,19,14,5,7,19,19,25,15,14,32,23,B7MESEA,B
10,37,36,25,16,25,0,16,23,34,48,10,31,36,28,16,13,30,16,B8RAMOM,B
0,0,14,8,17,0,0,15,1,22,20,0,2,15,12,0,0,1,5,M9BENIE,M
18,23,18,13,5,0,0,13,17,26,10,13,15,4,7,1,5,0,4,M10CAUR,M
3,6,5,8,17,0,0,8,11,8,21,4,10,7,14,3,1,1,5,M11BADE,M
0,14,34,28,17,0,25,14,13,31,41,0,12,31,29,15,0,0,5,M12SAES,M
0,0,16,17,0,0,0,14,2,14,17,0,0,0,17,11,0,0,6,M13FECA,M
18,8,10,9,0,3,1,0,25,26,21,11,15,10,14,0,5,3,1,M16ARVE,M
93,82,81,76,39,66,0,90,87,89,68,14,98,89,103,98,49,32,51,M17GOSE,M
5,68,60,61,74,71,14,54,25,64,63,5,48,76,66,74,41,1,6,M18HUME,M
0,0,0,29,16,1,0,0,10,15,29,1,22,30,25,17,6,15,6,M19NAMO,M
0,0,5,10,15,5,5,3,1,17,19,0,8,11,20,0,1,0,12,M21SANA,M
127,90,127,127,101,114,89,127,127,127,0,127,101,127,114,90,127,127,89,M22HUGU,M
13,17,32,20,7,0,0,15,41,41,35,0,40,41,27,16,16,16,4,M23SACA,M
0,6,13,10,2,6,5,7,23,16,15,7,18,29,21,8,10,14,12,M24SAME,M
6,0,8,17,5,6,0,3,18,20,19,11,11,17,4,10,16,0,0,M25MAVI,M
0,0,25,21,18,0,3,10,20,21,32,0,3,12,32,25,6,0,0,M27MUAG,M
0,0,6,7,9,0,0,1,9,10,7,0,9,9,15,8,0,0,3,M28NUCO,M
24,51,56,19,6,46,0,63,51,55,59,15,51,57,26,13,36,23,30,M3ESDIR,M
17,26,45,10,19,9,35,23,33,34,29,12,29,20,33,19,6,13,20,M7FLSAA,M
20,22,31,17,26,2,4,6,39,52,35,26,44,30,49,23,2,24,13,M8AVGUK,M
1,16,34,29,37,3,1,15,31,35,34,0,15,27,28,10,0,5,12,M9SAAND,M
