despues_E_alpha_1,despues_E_alpha_2,despues_E_alpha_3,despues_E_alpha_4,despues_E_alpha_5,despues_E_alpha_6,despues_E_alpha_7,despues_E_alpha_8,despues_E_alpha_9,despues_E_alpha_10,despues_E_alpha_11,despues_E_alpha_12,despues_E_alpha_13,despues_E_alpha_14,despues_E_alpha_15,despues_E_alpha_16,despues_E_alpha_17,despues_E_alpha_18,despues_E_alpha_19,Sujeto,Clase
29,55,45,37,41,52,65,37,67,27,21,34,44,28,21,21,14,13,33,A10GUAC,A
8,44,51,45,47,3,0,13,51,40,40,20,53,55,46,1,23,11,1,A11BRCA,A
0,40,27,17,50,3,4,4,32,6,19,35,31,40,44,34,19,28,11,A12CAPA,A
9,1,13,2,1,5,0,2,12,12,6,12,8,12,3,2,6,2,3,A13RIVI,A
8,29,48,13,13,20,34,10,34,36,27,3,38,40,13,6,6,29,13,A14RARO,A
19,26,67,64,64,10,64,64,26,75,64,19,75,75,64,64,23,67,45,A15GOGA,A
30,15,34,42,27,41,39,50,12,9,17,22,53,17,45,33,9,9,39,A17MUSI,A
17,2,0,6,9,12,8,5,13,1,12,3,14,17,17,11,22,12,20,A1ARVAE,A
6,26,16,36,27,5,7,25,31,37,41,24,31,16,7,26,2,2,4,A21AGLO,A
1,32,25,26,12,0,20,11,24,32,18,17,24,27,21,12,2,1,7,A22SAHE,A
120,120,120,120,0,120,120,120,120,120,0,120,120,120,120,120,120,120,120,A24FLMA,A
32,21,47,12,3,32,30,3,32,34,20,36,33,23,20,9,29,18,16,A52CUCA,A
41,50,52,19,0,37,37,36,27,29,23,45,47,52,7,3,12,34,1,A9AYAND,A
45,48,52,32,21,48,3,33,55,44,38,29,35,58,40,2,4,3,4,B11SUPR,B
28,24,36,14,25,29,0,17,34,6,13,20,27,1,16,9,20,35,15,B12LARA,B
7,39,45,33,41,4,42,22,52,53,46,13,33,53,17,21,40,19,8,B13VIGA,B
13,69,69,49,1,57,49,45,66,64,51,29,4,64,2,2,27,33,59,B18CASI,B
15,6,19,19,14,19,9,0,20,18,19,16,25,18,27,19,19,2,13,B22VIPU,B
1,3,19,18,16,4,18,4,2,10,19,2,2,3,16,16,3,1,2,B24CECU,B
9,38,43,45,45,54,10,10,64,60,14,0,39,45,52,63,37,21,59,B4CAZAD,B
4,3,3,17,19,4,0,6,4,16,19,1,0,10,19,15,0,0,4,B7MESEA,B
59,65,66,61,64,73,26,47,80,71,40,77,71,40,5,21,80,28,1,B8RAMOM,B
3,3,2,17,17,7,3,0,15,19,20,3,0,22,21,0,12,1,6,M9BENIE,M
16,11,3,12,17,11,8,17,3,0,8,4,4,3,5,3,6,0,1,M12SAES,M
23,41,38,52,12,34,32,21,61,51,50,44,25,11,52,43,44,8,21,M19NAMO,M
13,82,73,57,3,49,47,43,58,75,49,14,82,73,57,59,23,77,17,M24SAME,M
7,23,28,28,5,0,12,20,26,24,12,3,15,15,21,5,25,12,4,M27MUAG,M
23,42,3,21,28,16,2,17,19,28,24,21,39,37,36,7,37,32,9,M3ESDIR,M
60,14,61,56,45,30,38,54,30,80,66,31,75,30,67,14,78,46,67,M7FLSAA,M
18,41,38,46,15,27,41,33,37,18,54,14,40,41,7,5,10,13,3,M8AVGUK,M
65,80,29,68,21,85,74,75,79,17,8,55,65,79,97,6,79,85,88,M9SAAND,M
