despues_E_alpha_1,despues_E_alpha_2,despues_E_alpha_3,despues_E_alpha_4,despues_E_alpha_5,despues_E_alpha_6,despues_E_alpha_7,despues_E_alpha_8,despues_E_alpha_9,despues_E_alpha_10,despues_E_alpha_11,despues_E_alpha_12,despues_E_alpha_13,despues_E_alpha_14,despues_E_alpha_15,despues_E_alpha_16,despues_E_alpha_17,despues_E_alpha_18,despues_E_alpha_19,Sujeto,Clase
1,1,2,3,2,4,0,2,6,14,10,0,12,10,9,4,3,0,4,A18RURI,A
26,39,41,20,24,4,6,26,41,34,22,9,36,36,31,13,48,21,3,A19MOEP,A
6,48,36,49,0,28,0,0,66,56,63,59,27,56,56,0,51,48,26,A27HECE,A
15,35,40,32,1,19,19,43,47,47,38,1,53,31,28,17,2,2,4,A28TOPA,A
1,8,6,21,15,2,2,5,22,17,22,12,10,20,21,10,13,15,15,A8ESSAI,A
42,20,31,10,17,15,0,0,38,32,56,40,57,45,50,27,0,19,23,B10ESTO,B
8,10,20,25,25,3,0,0,13,32,31,8,9,26,31,31,0,21,34,B14FOVA,B
17,7,17,17,0,20,2,1,21,16,6,15,11,4,3,1,4,0,0,B15GOGO,B
13,6,9,7,0,13,10,10,9,7,8,5,4,16,20,16,19,16,13,B17ARTO,B
6,16,42,27,5,13,44,40,16,29,34,2,13,1,31,11,2,31,33,B20RORA,B
0,10,28,6,6,0,0,8,23,21,28,0,14,18,24,8,0,3,10,B21GUDE,B
6,0,12,5,3,25,0,0,21,25,9,29,24,22,1,0,21,4,0,B23VEZE,B
22,23,27,6,15,11,13,18,19,18,25,20,10,25,20,15,10,0,15,B25MEVI,B
0,9,6,3,1,1,1,12,15,8,1,1,3,10,6,19,0,8,13,B5ARMON,B
1,1,4,16,6,5,1,10,2,7,21,3,10,12,10,3,1,2,8,B6SOMOD,B
34,33,43,7,9,45,73,9,48,73,29,60,46,45,37,36,32,50,65,M10CAUR,M
32,39,39,23,15,35,6,24,40,45,15,24,32,22,16,4,32,6,4,M11BADE,M
60,35,33,60,3,1,1,22,53,47,60,48,47,3,39,27,33,0,37,M13FECA,M
43,54,43,4,34,23,5,0,50,42,40,34,29,29,17,8,34,4,32,M16ARVE,M
35,21,10,28,18,14,1,27,30,30,25,21,39,18,17,15,26,6,6,M17GOSE,M
15,17,50,40,29,0,0,45,34,30,23,14,34,13,35,18,2,0,0,M18HUME,M
113,113,104,113,93,113,76,113,113,91,6,101,113,101,116,0,100,75,113,M21SANA,M
1,23,29,50,10,28,43,46,30,3,9,0,38,17,24,14,12,44,14,M22HUGU,M
14,5,13,21,14,4,2,2,7,11,28,3,9,15,22,21,4,16,29,M23SACA,M
46,40,37,21,13,34,14,5,49,41,41,24,27,8,55,25,10,10,10,M25MAVI,M
14,6,19,34,33,22,28,18,15,28,38,8,5,26,38,31,3,11,19,M28NUCO,M
