durante_C_sf_1,durante_C_sf_2,durante_C_sf_3,durante_C_sf_4,durante_C_sf_5,durante_C_sf_6,durante_C_sf_7,durante_C_sf_8,durante_C_sf_9,durante_C_sf_10,durante_C_sf_11,durante_C_sf_12,durante_C_sf_13,durante_C_sf_14,durante_C_sf_15,durante_C_sf_16,durante_C_sf_17,durante_C_sf_18,durante_C_sf_19,Sujeto,Clase
NaN,0.33333,0.86667,0.46667,0.66667,0.6,1,0.66667,0.30769,0.55556,0.58333,1,0.83333,0.83333,0.5,0.52381,0.66667,0.83333,0.5,A18RURI,A
0.53571,0.61818,0.64103,0.67857,0.73333,0.58333,0.61818,0.5,0.59091,0.66667,0.52778,0.6,0.61111,0.68889,0.56061,0.57143,0.5,0.71429,0.5303,A19MOEP,A
NaN,NaN,0.61111,0.66667,NaN,NaN,1,NaN,0.8,0.6,0.78571,NaN,0.8,0.78571,0.52778,1,1,NaN,0.61111,A27HECE,A
0.46667,0.46667,0.42222,0.42857,0.66667,0.33333,1,0.83333,0.38095,0.41667,0.35714,0,0.6,0,0.33333,0.4,0.3,NaN,0.4,A28TOPA,A
0.5,0.42857,0.42857,0.5,0.71429,0.9,0.53333,0.51111,0.66667,0.66667,0.44444,0.33333,0.16667,0.3,0.60714,0.66667,0.6,0.33333,0.37179,A8ESSAI,A
0.7,0.9,0.38095,NaN,0.2,0.66667,NaN,0.4,0.60714,0.44444,0.57143,0.6,0.46429,0.42222,0.47619,0.66667,0.38095,0.3,0.6,B10ESTO,B
0.16667,0.46667,0.71111,0.51111,0.33333,0,1,0.53333,0.47222,0.75,0.6,0,0.75,0.67273,0.63636,0.42857,0.33333,1,0.71111,B14FOVA,B
NaN,NaN,0.92857,0.88889,0.92857,NaN,NaN,0.89286,0.71429,0.59091,0.8,NaN,0.6,0.71111,0.70909,0.75,0,NaN,1,B15GOGO,B
0.80556,0.73333,0.7619,0.86364,0.63636,0.83333,0.83333,0.82222,0.78022,0.79121,NaN,0.76364,0.79048,0.7619,0.76667,0.81319,0.80769,0.85897,0.72381,B17ARTO,B
0.33333,0.39286,0.5,0.33333,0.6,1,NaN,0.47619,0.42857,0.42857,0.44444,0.5,0.66667,0.30556,0.47619,0.30556,1,0.2,0.83333,B20RORA,B
0.5,1,0.36111,0,0.93333,1,NaN,0.33333,0.55556,0.62222,0.61111,0,0.46667,0.49091,0.58333,0.64286,0.33333,1,1,B21GUDE,B
0.42857,0.5,0.84444,0.77778,0.8,0.5,0.42857,0.80556,0.65385,0.64103,0.69231,0.6,0.71429,0.69231,0.68182,0.58182,0.57143,0,0.78182,B23VEZE,B
0.48889,0.42222,0.5,0.33333,0.35714,0.61905,0.53333,0.13333,0.57778,0.53571,0.52727,0.41818,0.44444,0.60714,0.67857,0.47436,0.52381,0.7,0.48889,B25MEVI,B
0.68889,0.58182,0.58182,0.69444,0.56061,0.4,0.33333,0.52778,0.54545,0.5,0.60606,0.6,0.3,0.8,0.47619,0.57143,0.62222,0.53333,0.52381,B5ARMON,B
1,0.33333,0.71111,0.6,0.7619,0.55556,0.41818,0.57692,0.6,0.72222,0.70909,NaN,0.5,0.66667,0.54545,0.6,0,0.8,0.61818,B6SOMOD,B
0.83333,0.47619,0.66667,0.60714,0.7,0.33333,NaN,0.83333,0.46429,0.45455,0.5,0.3,0.5,0.6,0.53333,0.8,NaN,NaN,0.38095,M10CAUR,M
0.4,0.46667,0.67273,0.77778,0.8,0.38095,0.33333,0.66667,0.64444,0.91111,0.78182,0.5,0,0.61818,0.78182,0.63636,0.33333,0.5,0.94444,M11BADE,M
NaN,NaN,0.5,1,NaN,NaN,NaN,NaN,0,0,1,NaN,NaN,NaN,0.2,NaN,NaN,NaN,NaN,M13FECA,M
0.39286,0.42857,0.42857,0.5,0.38095,0.6,0.5,0.39286,0.47619,0.42857,0.35556,0.5,0.4,0.4,0.5,NaN,1,NaN,0.66667,M16ARVE,M
0.71429,0.58333,0.53333,0.42222,0.4,0.52381,NaN,0.33333,0.64286,0.41818,1,0.66667,0.57143,0.26667,0.5,0.5,0.5,0.33333,0.66667,M17GOSE,M
0,0.55556,0.71429,0.5,0.9,0.33333,NaN,NaN,0.61905,0.7619,0.57778,NaN,0.66667,0.8,0.66667,0.60714,0.33333,NaN,NaN,M18HUME,M
NaN,NaN,0.33333,0.16667,NaN,NaN,NaN,0,0,0.38095,0.32143,NaN,1,0.6,0.53333,NaN,NaN,NaN,1,M21SANA,M
0.42857,0.48889,0.71429,0.57143,0.55556,1,1,0.63889,0.47273,0.52564,1,0.66667,0.57778,0.57778,0.54545,0.73333,0.60714,1,0.71429,M22HUGU,M
0,0.73333,0.47273,0.61111,0.51111,NaN,1,0.57143,0.66667,0.56061,0.66667,0,0.5,0.58333,0.55556,0.71429,0.83333,0.5,0.71429,M23SACA,M
0.33333,NaN,0.32143,0.46667,1,0.16667,NaN,NaN,0.32143,0.7,0.38095,0.5,0.33333,0.66667,1,0.5,0.3,NaN,0.5,M25MAVI,M
NaN,NaN,0.61905,0.55556,0.80952,NaN,NaN,0.86667,1,0.5,0.62222,0,0.52381,0.61905,0.48889,0.7619,NaN,0,1,M28NUCO,M
