durante_E_beta_1,durante_E_beta_2,durante_E_beta_3,durante_E_beta_4,durante_E_beta_5,durante_E_beta_6,durante_E_beta_7,durante_E_beta_8,durante_E_beta_9,durante_E_beta_10,durante_E_beta_11,durante_E_beta_12,durante_E_beta_13,durante_E_beta_14,durante_E_beta_15,durante_E_beta_16,durante_E_beta_17,durante_E_beta_18,durante_E_beta_19,Sujeto,Clase
0,0,6,7,9,0,0,1,9,10,7,0,9,9,15,8,0,0,3,A10GUAC,A
0,0,6,7,9,0,0,1,9,10,7,0,9,9,15,8,0,0,3,A11BRCA,A
0,0,6,7,9,0,0,1,9,10,7,0,9,9,15,8,0,0,3,A12CAPA,A
0,0,6,7,9,0,0,1,9,10,7,0,9,9,15,8,0,0,3,A13RIVI,A
0,0,6,7,9,0,0,1,9,10,7,0,9,9,15,8,0,0,3,A14RARO,A
0,0,6,7,9,0,0,1,9,10,7,0,9,9,15,8,0,0,3,A15GOGA,A
0,0,6,7,9,0,0,1,9,10,7,0,9,9,15,8,0,0,3,A17MUSI,A
0,0,6,7,9,0,0,1,9,10,7,0,9,9,15,8,0,0,3,A1ARVAE,A
0,0,6,7,9,0,0,1,9,10,7,0,9,9,15,8,0,0,3,A21AGLO,A
0,0,6,7,9,0,0,1,9,10,7,0,9,9,15,8,0,0,3,A22SAHE,A
0,0,6,7,9,0,0,1,9,10,7,0,9,9,15,8,0,0,3,A24FLMA,A
0,0,6,7,9,0,0,1,9,10,7,0,9,9,15,8,0,0,3,A52CUCA,A
0,0,6,7,9,0,0,1,9,10,7,0,9,9,15,8,0,0,3,A9AYAND,A
5,7,15,2,6,14,0,1,27,18,27,17,8,27,13,8,5,2,11,B11SUPR,B
0,0,29,40,14,3,2,19,12,15,29,0,33,38,40,19,21,35,44,B12LARA,B
1,0,6,6,2,0,1,6,7,17,17,0,12,17,16,2,6,0,4,B13VIGA,B
7,13,5,12,12,0,16,12,18,5,13,15,12,16,0,14,11,5,3,B18CASI,B
1,1,7,0,6,0,0,15,2,12,20,2,2,15,20,9,2,3,0,B22VIPU,B
0,0,21,25,0,0,0,21,10,24,25,0,0,29,29,29,0,1,14,B24CECU,B
0,53,65,67,47,0,0,51,58,53,65,20,59,36,65,3,0,26,67,B4CAZAD,B
5,16,26,28,19,12,2,12,19,14,5,7,19,19,25,15,14,32,23,B7MESEA,B
10,37,36,25,16,25,0,16,23,34,48,10,31,36,28,16,13,30,16,B8RAMOM,B
0,0,14,8,17,0,0,15,1,22,20,0,2,15,12,0,0,1,5,M9BENIE,M
0,14,34,28,17,0,25,14,13,31,41,0,12,31,29,15,0,0,5,M12SAES,M
0,0,0,29,16,1,0,0,10,15,29,1,22,30,25,17,6,15,6,M19NAMO,M
0,6,13,10,2,6,5,7,23,16,15,7,18,29,21,8,10,14,12,M24SAME,M
0,0,25,21,18,0,3,10,20,21,32,0,3,12,32,25,6,0,0,M27MUAG,M
24,51,56,19,6,46,0,63,51,55,59,15,51,57,26,13,36,23,30,M3ESDIR,M
17,26,45,10,19,9,35,23,33,34,29,12,29,20,33,19,6,13,20,M7FLSAA,M
20,22,31,17,26,2,4,6,39,52,35,26,44,30,49,23,2,24,13,M8AVGUK,M
1,16,34,29,37,3,1,15,31,35,34,0,15,27,28,10,0,5,12,M9SAAND,M
