durante_C_sf_1,durante_C_sf_2,durante_C_sf_3,durante_C_sf_4,durante_C_sf_5,durante_C_sf_6,durante_C_sf_7,durante_C_sf_8,durante_C_sf_9,durante_C_sf_10,durante_C_sf_11,durante_C_sf_12,durante_C_sf_13,durante_C_sf_14,durante_C_sf_15,durante_C_sf_16,durante_C_sf_17,durante_C_sf_18,durante_C_sf_19,Clase
?,0.16667,0.6,0.5,0.5,0,0.33333,0,0.28571,0.5,0.61905,0.3,0.83333,0.30556,0.66667,0.73333,0.6,0.33333,0.46667,H
0.2,1,0.56364,0.77778,0.6,0,0,0,0.88889,0.65455,0.65455,0,1,1,0.71111,0.86667,?,0.66667,?,H
0,0,0.7,0.66667,0.5,?,0.66667,1,0.66667,0.46667,0.29487,?,0.3,0.83333,0.46429,1,?,0.46667,0.7,H
0.81667,0.86667,1,0.96154,1,0.97778,?,0.94872,0.81667,0.81667,0.96429,0.86667,0.86667,0.81667,0.9011,0.81667,0.89394,?,0.92308,H
?,0.6,0.67857,0.68889,0.80556,1,?,0.60714,0.85714,0.60606,0.73333,0,1,0.5641,0.57576,0.68889,0.66667,1,0.90476,H
?,0.33333,0.86667,0.46667,0.66667,0.6,1,0.66667,0.30769,0.55556,0.58333,1,0.83333,0.83333,0.5,0.52381,0.66667,0.83333,0.5,M
1,0.5,0.7,0.6,0.73333,0.4,0.46667,0.66667,0.33333,0.66667,0.34545,0.52381,0.39286,0.33333,0.41667,1,1,0.66667,1,H
?,?,0.4,0.33333,0.66667,?,?,0.66667,0.16667,0.5,0.38095,?,?,0.83333,0.83333,0,?,?,0,H
?,?,0.66667,0.57143,0.53333,0.33333,0.33333,1,0.8,0.41818,0.61111,?,0.66667,0.60714,0.7619,0.61905,1,?,0.9,H
0.75641,0.96429,0.82051,0.73077,?,0.84444,1,0.81818,0.82418,0.87879,0.66667,0.92727,0.83333,0.69231,0.75758,0.82051,0.82418,?,0.76923,H
0.46667,0.46667,0.42222,0.42857,0.66667,0.33333,1,0.83333,0.38095,0.41667,0.35714,0,0.6,0,0.33333,0.4,0.3,?,0.4,M
