durante_C_gamma_1,durante_C_gamma_2,durante_C_gamma_3,durante_C_gamma_4,durante_C_gamma_5,durante_C_gamma_6,durante_C_gamma_7,durante_C_gamma_8,durante_C_gamma_9,durante_C_gamma_10,durante_C_gamma_11,durante_C_gamma_12,durante_C_gamma_13,durante_C_gamma_14,durante_C_gamma_15,durante_C_gamma_16,durante_C_gamma_17,durante_C_gamma_18,durante_C_gamma_19,Sujeto,Clase
0.66667,0.66667,0.71429,0.55556,0.5,0.9,NaN,0.6,0.29487,0.5,0.52778,0,0.83333,0.83333,0.47619,0.6,0.66667,NaN,NaN,A18RURI,A
0.26667,0.5,0.57778,0.66667,0.57143,0.66667,0.5,0.6,0.41818,0.67857,0.46667,0.33333,0.46429,0.56364,0.55556,0.33333,0.33333,0.9,0.52778,A19MOEP,A
NaN,NaN,0.63889,0.66667,NaN,NaN,1,NaN,0.86667,0.62222,0.63889,0,0.73333,0.78571,0.55556,0.93333,0.33333,NaN,0.66667,A27HECE,A
0.33333,0.4,0.53571,0.47619,0,0.3,0,0.83333,0.2381,0.42222,0.41667,0,0.33333,0,0.47619,0.38095,0.33333,0.16667,0.6,A28TOPA,A
0.46667,0.52778,0.44444,0.42424,0.5,0.8,0.33333,0.47222,0.47619,0.66667,0.46667,0.66667,0.3,0.33333,0.5,0.53571,1,0,0.54545,A8ESSAI,A
0.66667,0.73333,0.7,NaN,0,0.83333,NaN,0.5,0.64286,0.38889,0.7,0.8,0.5,0.38889,0.4,0.33333,0.6,0,0.33333,B10ESTO,B
0.42857,0.6,0.65152,0.55556,0.66667,0.83333,NaN,0.71429,0.47273,0.80556,0.5641,0.83333,0.83333,0.69091,0.72727,0.7619,1,1,0.77778,B14FOVA,B
NaN,NaN,0.96429,0.96429,0.86111,NaN,NaN,1,0.80556,0.65455,0.75556,NaN,1,0.69444,0.65455,0.86667,NaN,NaN,1,B15GOGO,B
0.83636,0.33333,0.81818,0.90909,0.82143,0.8,0.85455,0.94444,0.79487,0.7619,NaN,0.72727,0.80303,0.7619,0.725,0.79121,0.76923,0.78788,0.63736,B17ARTO,B
1,0.26667,0.33333,0,NaN,NaN,NaN,1,0.26667,0.32143,0.38095,0,0,0.26667,0.6,0.3,NaN,NaN,0.5,B20RORA,B
0,NaN,0.33333,NaN,1,NaN,NaN,NaN,0.46667,0.60714,0.61905,NaN,0,0.9,0.53571,0.71429,NaN,NaN,1,B21GUDE,B
0.53333,0.5,0.91111,0.65455,0.77273,0.57143,0.73333,0.77778,0.71795,0.67949,0.63736,0.64103,0.61111,0.77273,0.67949,0.78182,0.66667,0,1,B23VEZE,B
0.53571,0.33333,0.53333,NaN,0.33333,0.57143,0.5,0.53333,0.42857,0.47619,0.4,0.47619,0.34545,0.26667,0.33333,0.35714,0.47222,1,0.28571,B25MEVI,B
0.61905,0.53571,0.5,0.52778,0.38889,0.4,0.16667,0.33333,0.39394,0.5,0.45455,0.61905,0.33333,0.46667,0.4,0.52381,0.53333,0.4,0.47619,B5ARMON,B
NaN,0.33333,0.63889,0.67857,0.57143,0.33333,0.44444,0.67857,0.6,0.46429,0.54545,NaN,NaN,0.46667,0.51111,0.71429,0,0.83333,0.60714,B6SOMOD,B
1,0.39286,0.66667,0.5,0.73333,1,NaN,1,0.38889,0.53333,0.7619,0.46667,0.5,0.5,0.60714,0.57143,1,NaN,0.5,M10CAUR,M
0.33333,0.33333,0.6,0.77778,0.83333,0.2,NaN,0.78571,0.63889,0.75,0.83333,0.2,0,0.66667,0.66667,0.67857,NaN,NaN,0.72222,M11BADE,M
NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,M13FECA,M
0.32143,0.42857,0.52778,0.57143,0.61905,0.66667,1,0.57143,0.5,0.38889,0.4,0.5,0.3,0.33333,0.38095,0.5,1,NaN,0.33333,M16ARVE,M
0.69091,0.77778,0.67273,0.77778,0.66667,0.72222,NaN,0.69444,0.82143,0.57576,0.85714,1,0.58182,0.33333,0.5,0.5,0.6,0,0.33333,M17GOSE,M
0.33333,0.75758,0.76364,0.61538,1,0.48889,NaN,0.7,0.75758,0.68182,0.91111,0.33333,0.89286,0.78182,0.57143,0.68182,1,1,NaN,M18HUME,M
NaN,NaN,0,0.33333,NaN,NaN,NaN,0,NaN,0.66667,0.4,NaN,0,0.2381,0.83333,NaN,NaN,NaN,1,M21SANA,M
0.61905,0.55556,0.75556,0.62222,0.66667,0.7,0.66667,0.63636,0.55128,0.75556,NaN,0.66667,0.68889,0.60606,0.60606,0.8,0.63889,1,0.71429,M22HUGU,M
0,0.73333,0.61905,0.48889,0.46667,NaN,1,0.66667,0.71429,0.56061,0.69444,0,0.55556,0.63889,0.58182,0.86667,0.8,0.53333,0.66667,M23SACA,M
0.33333,NaN,0.27778,0.3,0.33333,0,NaN,NaN,0.61905,0.6,0.33333,0.4,0.42857,0.6,1,0.5,0.42857,NaN,0.5,M25MAVI,M
NaN,NaN,0.61905,0.71429,0.80952,NaN,NaN,0.86667,1,0.66667,0.62222,0,0.52381,0.61905,0.48889,0.8,NaN,0,0.93333,M28NUCO,M
