durante_C_sf_1,durante_C_sf_2,durante_C_sf_3,durante_C_sf_4,durante_C_sf_5,durante_C_sf_6,durante_C_sf_7,durante_C_sf_8,durante_C_sf_9,durante_C_sf_10,durante_C_sf_11,durante_C_sf_12,durante_C_sf_13,durante_C_sf_14,durante_C_sf_15,durante_C_sf_16,durante_C_sf_17,durante_C_sf_18,durante_C_sf_19,Sujeto,Clase
NaN,0.16667,0.6,0.5,0.5,0,0.33333,0,0.28571,0.5,0.61905,0.3,0.83333,0.30556,0.66667,0.73333,0.6,0.33333,0.46667,A10GUAC,A
0.2,1,0.56364,0.77778,0.6,0,0,0,0.88889,0.65455,0.65455,0,1,1,0.71111,0.86667,NaN,0.66667,NaN,A11BRCA,A
0.60714,0.62222,0.61818,0.5641,0.83333,0.42857,0.33333,0.5641,0.33333,0.62121,0.8,0.4,0.5,0.53333,0.63636,0.8,0.6,0.33333,0.65455,A12CAPA,A
0,0,0.7,0.66667,0.5,NaN,0.66667,1,0.66667,0.46667,0.29487,NaN,0.3,0.83333,0.46429,1,NaN,0.46667,0.7,A13RIVI,A
0.81667,0.86667,1,0.96154,1,0.97778,NaN,0.94872,0.81667,0.81667,0.96429,0.86667,0.86667,0.81667,0.9011,0.81667,0.89394,NaN,0.92308,A14RARO,A
1,0.57143,0.4,0.53333,0.5,0.8,0,0.4,0.6,0.46429,0.36111,0.37778,0.41667,0.33333,0.32143,0.46667,0.26667,0.33333,0.5,A15GOGA,A
NaN,0.6,0.67857,0.68889,0.80556,1,NaN,0.60714,0.85714,0.60606,0.73333,0,1,0.5641,0.57576,0.68889,0.66667,1,0.90476,A17MUSI,A
1,0.5,0.7,0.6,0.73333,0.4,0.46667,0.66667,0.33333,0.66667,0.34545,0.52381,0.39286,0.33333,0.41667,1,1,0.66667,1,A1ARVAE,A
NaN,NaN,0.4,0.33333,0.66667,NaN,NaN,0.66667,0.16667,0.5,0.38095,NaN,NaN,0.83333,0.83333,0,NaN,NaN,0,A21AGLO,A
NaN,NaN,0.66667,0.57143,0.53333,0.33333,0.33333,1,0.8,0.41818,0.61111,NaN,0.66667,0.60714,0.7619,0.61905,1,NaN,0.9,A22SAHE,A
0.75641,0.96429,0.82051,0.73077,NaN,0.84444,1,0.81818,0.82418,0.87879,0.66667,0.92727,0.83333,0.69231,0.75758,0.82051,0.82418,NaN,0.76923,A24FLMA,A
1,0.53333,0.6,0.6,0.71429,1,NaN,0.73333,0.7619,0.66667,0.7619,0.16667,0.8,0.5,0.6,1,NaN,0,0.73333,A52CUCA,A
0.33333,0.86667,0.42857,0.25,0,1,0,0.33333,0.4,0.53571,0.6,1,0.66667,0.83333,0.4,0,0.3,NaN,1,A9AYAND,A
0.16667,0.7,0.4,0.42857,0.57143,0.33333,0.4,0.8,0.42857,0.38889,0.39394,0.5,0.66667,0.26667,0.44444,0.44444,1,0.6,0.66667,B11SUPR,B
0,0.33333,0.48718,1,0.7,0.3,0.66667,0.55556,0.75,0.71429,0.54545,0.4,0.66667,0.71111,0.51515,0.9,0.60714,0.80556,0.58182,B12LARA,B
0.33333,NaN,0.33333,1,0.5,NaN,NaN,0.33333,0.5,0.66667,0.33333,NaN,1,0.33333,0.66667,0.28571,NaN,NaN,0.5,B13VIGA,B
1,0.5,0.66667,0.8,0.6,1,0.73333,0.61111,0.48889,0.66667,0.61111,0.4,0,0.45455,0,0.71429,0.33333,0.47619,0.64286,B18CASI,B
1,NaN,0.89286,1,1,NaN,NaN,0.81818,0.58974,0.67949,0.74242,0.76364,0.8,0.58242,0.74242,0.86667,0.93333,NaN,1,B22VIPU,B
0,1,0.44444,0.46429,1,NaN,NaN,1,0.6,0.67857,0.93333,0,NaN,0.5,0.51111,0.8,0,0,1,B24CECU,B
0,0.8,0.77273,0.77273,0.77778,NaN,1,0.66667,0.93333,0.90909,0.90909,NaN,0.75758,0.95556,0.95556,1,NaN,1,0.77778,B4CAZAD,B
0.4,0.41667,0.5,0.52381,0.47619,0.66667,0.5,0.38095,0.60714,0.5,1,0.33333,0.5,0.45455,0.52778,0.5,0.16667,0.42857,0.64286,B7MESEA,B
0.7,0.4,0.66667,0.28889,0.46667,1,NaN,0.66667,0.60714,0.52778,0.55556,0.44444,0.42857,0.5,0.41818,0.6,1,0.5,0.83333,B8RAMOM,B
0.33333,0.16667,0.58333,0.66667,0.51111,0.16667,0,0.6,0.50909,0.66667,0.66667,0.2,0.7619,0.75,0.42857,0,0.66667,0.60714,0.83333,M9BENIE,M
NaN,0.5,0.71429,0.61905,0.66667,NaN,1,0.8,1,0.47273,0.66667,NaN,1,0.57143,0.66667,0.66667,NaN,0,NaN,M12SAES,M
1,0.43939,0.75,0.58182,0.73333,0.69444,0,0.66667,0.51111,0.6,0.59091,0,0.7,0.56364,0.55556,0.66667,0.33333,0.66667,0.83333,M19NAMO,M
NaN,0.73333,0.52564,0.66667,0.67857,0.8,0.45455,0.85714,0.61111,0.60714,0.57778,0.33333,0.61905,0.4697,0.67857,0.66667,0.38182,0.52381,0.5,M24SAME,M
0,0.71429,0.53333,0.63889,0.71429,0,1,0.6,0.57778,0.61818,0.66667,0.73333,0.57143,0.61905,0.55556,0.37778,0.42857,NaN,0.66667,M27MUAG,M
NaN,0.9,0.6,0.66667,0.7,0.57143,NaN,0.7,0.46667,0.60714,0.44444,1,0.5,0.66667,0.45455,0.5,0,NaN,0.83333,M3ESDIR,M
0.61111,0.69091,0.61905,1,0.60606,0.46667,0.6,0.67949,0.58974,0.72727,0.62121,0.83333,0.54545,0.74242,0.67949,0.73333,0.53333,0.80556,0.74545,M7FLSAA,M
0.46429,0.35714,0.46429,0.68889,0.68889,0.66667,0.33333,0.53333,0.6,0.77778,0.55556,0.3,0.44444,0.77778,0.71111,0.5,0.26667,0.33333,0.8,M8AVGUK,M
NaN,0.6,0.6,0.61905,0.57143,1,NaN,1,0.38889,0.57143,0.53571,NaN,0.66667,0.39286,0.57143,0.83333,NaN,1,0.6,M9SAAND,M
