durante_E_beta_1,durante_E_beta_2,durante_E_beta_3,durante_E_beta_4,durante_E_beta_5,durante_E_beta_6,durante_E_beta_7,durante_E_beta_8,durante_E_beta_9,durante_E_beta_10,durante_E_beta_11,durante_E_beta_12,durante_E_beta_13,durante_E_beta_14,durante_E_beta_15,durante_E_beta_16,durante_E_beta_17,durante_E_beta_18,durante_E_beta_19,Sujeto,Clase
4,11,23,15,16,0,0,3,17,31,23,19,20,29,22,18,12,6,19,A10GUAC,A
2,22,24,15,8,0,0,6,25,25,32,1,19,24,27,6,0,4,0,A11BRCA,A
0,25,34,24,20,12,3,1,20,33,25,0,6,2,22,28,1,0,2,A12CAPA,A
1,0,4,14,4,0,0,5,1,14,17,1,0,11,15,6,0,12,9,A13RIVI,A
104,90,90,99,45,78,0,99,104,104,15,90,99,104,104,99,90,0,92,A14RARO,A
0,8,6,5,1,0,0,3,9,3,3,6,8,1,1,0,6,0,0,A15GOGA,A
1,3,5,36,24,5,0,7,4,25,32,0,20,28,32,36,20,1,18,A17MUSI,A
10,8,8,8,14,2,7,15,17,2,18,13,13,13,23,10,12,3,8,A1ARVAE,A
0,61,73,73,45,77,0,68,86,80,73,0,61,86,86,63,33,20,86,A21AGLO,A
11,20,29,34,18,1,0,6,21,38,42,0,1,30,39,39,0,0,10,A22SAHE,A
100,55,100,100,0,88,90,95,100,100,15,83,100,105,95,105,100,0,105,A24FLMA,A
18,22,14,7,9,22,15,20,28,8,13,8,5,10,13,9,1,19,8,A52CUCA,A
4,4,14,18,8,13,5,9,23,22,24,1,10,11,12,7,2,6,5,A9AYAND,A
5,7,15,2,6,14,0,1,27,18,27,17,8,27,13,8,5,2,11,B11SUPR,B
0,0,29,40,14,3,2,19,12,15,29,0,33,38,40,19,21,35,44,B12LARA,B
1,0,6,6,2,0,1,6,7,17,17,0,12,17,16,2,6,0,4,B13VIGA,B
7,13,5,12,12,0,16,12,18,5,13,15,12,16,0,14,11,5,3,B18CASI,B
1,1,7,0,6,0,0,15,2,12,20,2,2,15,20,9,2,3,0,B22VIPU,B
0,0,21,25,0,0,0,21,10,24,25,0,0,29,29,29,0,1,14,B24CECU,B
0,53,65,67,47,0,0,51,58,53,65,20,59,36,65,3,0,26,67,B4CAZAD,B
5,16,26,28,19,12,2,12,19,14,5,7,19,19,25,15,14,32,23,B7MESEA,B
10,37,36,25,16,25,0,16,23,34,48,10,31,36,28,16,13,30,16,B8RAMOM,B
0,0,14,8,17,0,0,15,1,22,20,0,2,15,12,0,0,1,5,M9BENIE,M
0,14,34,28,17,0,25,14,13,31,41,0,12,31,29,15,0,0,5,M12SAES,M
0,0,0,29,16,1,0,0,10,15,29,1,22,30,25,17,6,15,6,M19NAMO,M
0,6,13,10,2,6,5,7,23,16,15,7,18,29,21,8,10,14,12,M24SAME,M
0,0,25,21,18,0,3,10,20,21,32,0,3,12,32,25,6,0,0,M27MUAG,M
24,51,56,19,6,46,0,63,51,55,59,15,51,57,26,13,36,23,30,M3ESDIR,M
17,26,45,10,19,9,35,23,33,34,29,12,29,20,33,19,6,13,20,M7FLSAA,M
20,22,31,17,26,2,4,6,39,52,35,26,44,30,49,23,2,24,13,M8AVGUK,M
1,16,34,29,37,3,1,15,31,35,34,0,15,27,28,10,0,5,12,M9SAAND,M
