durante_E_beta_1,durante_E_beta_2,durante_E_beta_3,durante_E_beta_4,durante_E_beta_5,durante_E_beta_6,durante_E_beta_7,durante_E_beta_8,durante_E_beta_9,durante_E_beta_10,durante_E_beta_11,durante_E_beta_12,durante_E_beta_13,durante_E_beta_14,durante_E_beta_15,durante_E_beta_16,durante_E_beta_17,durante_E_beta_18,durante_E_beta_19,Sujeto,Clase
0,0,39,36,10,17,18,24,27,49,25,0,0,29,25,0,12,40,39,A18RURI,A
0,1,10,0,0,0,2,0,1,16,1,0,11,16,8,0,10,13,16,A19MOEP,A
0,0,25,13,0,0,0,0,21,29,24,0,13,14,26,9,6,0,12,A27HECE,A
25,36,27,9,1,33,0,14,25,47,18,11,21,8,23,21,16,0,19,A28TOPA,A
10,3,13,23,10,3,0,14,17,28,9,1,11,21,1,1,3,0,15,A8ESSAI,A
13,15,20,0,4,1,0,0,14,18,8,19,22,12,8,3,3,2,3,B10ESTO,B
4,8,15,17,4,2,2,4,11,13,9,2,9,15,12,15,9,10,7,B14FOVA,B
0,3,44,48,11,1,0,40,49,47,55,0,8,47,48,48,46,0,36,B15GOGO,B
10,9,29,28,27,4,14,15,37,27,0,22,11,32,40,9,1,0,6,B17ARTO,B
0,1,0,0,9,0,0,0,2,4,11,0,1,9,11,6,0,0,9,B20RORA,B
0,0,1,0,6,0,0,0,12,20,14,0,3,16,17,17,0,0,14,B21GUDE,B
1,0,2,3,3,2,0,0,10,14,15,2,0,9,8,13,3,0,11,B23VEZE,B
16,4,2,0,15,5,1,1,12,15,16,5,14,6,8,14,7,0,9,B25MEVI,B
3,2,6,7,3,0,0,2,7,8,10,2,0,0,4,0,0,0,0,B5ARMON,B
2,4,26,36,10,5,7,6,12,33,26,0,25,31,26,32,3,11,17,B6SOMOD,B
18,23,18,13,5,0,0,13,17,26,10,13,15,4,7,1,5,0,4,M10CAUR,M
3,6,5,8,17,0,0,8,11,8,21,4,10,7,14,3,1,1,5,M11BADE,M
0,0,16,17,0,0,0,14,2,14,17,0,0,0,17,11,0,0,6,M13FECA,M
18,8,10,9,0,3,1,0,25,26,21,11,15,10,14,0,5,3,1,M16ARVE,M
93,82,81,76,39,66,0,90,87,89,68,14,98,89,103,98,49,32,51,M17GOSE,M
5,68,60,61,74,71,14,54,25,64,63,5,48,76,66,74,41,1,6,M18HUME,M
0,0,5,10,15,5,5,3,1,17,19,0,8,11,20,0,1,0,12,M21SANA,M
127,90,127,127,101,114,89,127,127,127,0,127,101,127,114,90,127,127,89,M22HUGU,M
13,17,32,20,7,0,0,15,41,41,35,0,40,41,27,16,16,16,4,M23SACA,M
6,0,8,17,5,6,0,3,18,20,19,11,11,17,4,10,16,0,0,M25MAVI,M
0,0,6,7,9,0,0,1,9,10,7,0,9,9,15,8,0,0,3,M28NUCO,M
